Tahun,Bulan,Minggu,No,Provinsi,Kab/Kota,Indikator Perubahan Harga (%),Komoditas Andil Perubahan Harga ,Fluktuasi Harga Tertinggi,Nilai,Disparitas Harga Antar Daerah
2022,10,04,6101,KALIMANTAN BARAT,SAMBAS,-0.09,TELUR AYAM RAS (0.4229); BAWANG PUTIH (0.0045); BERAS (0),CABAI MERAH,0.06,120.17
2022,10,04,6102,KALIMANTAN BARAT,BENGKAYANG,4.44,BERAS (3.8698); GULA PASIR (0.3024); MINYAK GORENG (0.0904),SUSU BUBUK UNTUK BALITA,0.14,109.48
2022,10,04,6103,KALIMANTAN BARAT,LANDAK,10.45,BERAS (6.0825); MINYAK GORENG (4.9103); DAGING AYAM RAS (0.1072),DAGING AYAM RAS,0.04,111.99
2022,10,04,6104,KALIMANTAN BARAT,MEMPAWAH,-0.8,TELUR AYAM RAS (0.0598); BERAS (0); MIE KERING INSTANT (0),STABIL,-,107.64
2022,10,04,6105,KALIMANTAN BARAT,SANGGAU,2.37,BERAS (3.2748); MINYAK GORENG (0.9413); GULA PASIR (0.2304),MIE KERING INSTANT,0.16,113.42
2022,10,04,6106,KALIMANTAN BARAT,KETAPANG,4.55,BERAS (2.8698); MINYAK GORENG (1.5243); GULA PASIR (0.3689),BAWANG PUTIH,0.07,107.89
2022,10,04,6107,KALIMANTAN BARAT,SINTANG,1.52,BERAS (3.2748); TELUR AYAM RAS (0.1174); BAWANG MERAH (0.0722),CABAI RAWIT,0.2,102.52
2022,10,04,6108,KALIMANTAN BARAT,KAPUAS HULU,14.07,BERAS (5.4848); MINYAK GORENG (4.9974); BAWANG MERAH (0.9562),STABIL,-,115.99
2022,10,04,6109,KALIMANTAN BARAT,SEKADAU,2.4,MINYAK GORENG (2.7251); CABAI MERAH (0.0919); DAGING SAPI (0.0396),MINYAK GORENG,0.25,135.45
2022,10,04,6110,KALIMANTAN BARAT,MELAWI,3.81,MINYAK GORENG (3.7249); BERAS (1.4077); DAGING AYAM RAS (0.1253),MIE KERING INSTANT,0.1,158.85
2022,10,04,6111,KALIMANTAN BARAT,KAYONG UTARA,1.34,MINYAK GORENG (1.4093); GULA PASIR (0.4133); BAWANG MERAH (0.2145),STABIL,-,104.51
2022,10,04,6112,KALIMANTAN BARAT,KUBU RAYA,-2.79,MINYAK GORENG (0.8388); CABAI MERAH (0.1356); BAWANG MERAH (0.0948),CABAI MERAH,0.12,86.08
2022,10,04,6171,KALIMANTAN BARAT,PONTIANAK,-2.05,MINYAK GORENG (0.2375); BAWANG MERAH (0.1563); TELUR AYAM RAS (0.113),JERUK,0.16,94.39
2022,10,04,6172,KALIMANTAN BARAT,SINGKAWANG,-0.08,TELUR AYAM RAS (0.3892); BAWANG MERAH (0.1579); BAWANG PUTIH (0.0339),CABAI RAWIT,0.09,85.17
2022,11,01,6101,KALIMANTAN BARAT,SAMBAS,-0.62,"BAWANG MERAH (0,3611); CABAI RAWIT (0,2608); SUSU BUBUK (0,2257)",SUSU BUBUK,0.18,
2022,11,01,6102,KALIMANTAN BARAT,BENGKAYANG,-2.31,"TAHU MENTAH (1,1854); TELUR AYAM RAS (0,2953); SUSU BUBUK UNTUK BALITA (0,2678)",TAHU MENTAH,0.23,
2022,11,01,6103,KALIMANTAN BARAT,LANDAK,-15.07,"TELUR AYAM RAS (0,4342); SUSU BUBUK (0,2564); MIE KERING INSTANT (0,2532)",MINYAK GORENG,0.24,
2022,11,01,6104,KALIMANTAN BARAT,MEMPAWAH,-0.66,"CABAI RAWIT (0,3344); MINYAK GORENG (0,2214); BAWANG MERAH (0,2074)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.11,
2022,11,01,6105,KALIMANTAN BARAT,SANGGAU,-6.77,"DAGING AYAM RAS (1,317); IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO (0,2184); TEMPE (0,1716)",CABAI MERAH,0.04,
2022,11,01,6106,KALIMANTAN BARAT,KETAPANG,-9.3,"BAWANG PUTIH (0,1177); BAWANG MERAH (0,0429); TEPUNG TERIGU (0,0359)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.09,
2022,11,01,6107,KALIMANTAN BARAT,SINTANG,-0.52,"CABAI RAWIT (1,3385); DAGING AYAM RAS (0,6679); CABAI MERAH (0,5085)",CABAI RAWIT,0.1,
2022,11,01,6108,KALIMANTAN BARAT,KAPUAS HULU,-12.33,MIE KERING INSTANT (0); TEPUNG TERIGU (0); IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO (0),TELUR AYAM RAS,0,
2022,11,01,6109,KALIMANTAN BARAT,SEKADAU,-2.15,"UDANG BASAH (0,2647); TELUR AYAM RAS (0,1845); BAWANG PUTIH (0,1791)",MINYAK GORENG,0.12,
2022,11,01,6110,KALIMANTAN BARAT,MELAWI,-2.92,"TAHU MENTAH (1,9332); TEMPE (0,7707); TELUR AYAM RAS (0,5163)",PISANG,0.34,
2022,11,01,6111,KALIMANTAN BARAT,KAYONG UTARA,-1.22,"CABAI RAWIT (0,4918); CABAI MERAH (0,3312); SUSU BUBUK (0,0966)",STABIL,-,
2022,11,01,6112,KALIMANTAN BARAT,KUBU RAYA,10.72,"TAHU MENTAH (3,7971); BERAS (3,3161); DAGING AYAM RAS (2,1774)",TAHU MENTAH,1.07,
2022,11,01,6171,KALIMANTAN BARAT,PONTIANAK,0.6,"DAGING AYAM RAS (1,4823); BERAS (1,1973); UDANG BASAH (0,381)",CABAI RAWIT,0.07,
2022,11,01,6172,KALIMANTAN BARAT,SINGKAWANG,2.09,"DAGING AYAM RAS (1,2027); CABAI RAWIT (1,0987); BAWANG MERAH (0,1578)",CABAI MERAH,0.07,
2022,11,02,6101,KALIMANTAN BARAT,SAMBAS,-0.47,"BAWANG MERAH (0,1637); TELUR AYAM RAS (0,1183); CABAI MERAH (0,0128)",CABAI RAWIT,0.09,
2022,11,02,6102,KALIMANTAN BARAT,BENGKAYANG,0.78,"BERAS (0,5487); BAWANG MERAH (0,1753); PISANG (0,0841)",CABAI MERAH,0.09,
2022,11,02,6103,KALIMANTAN BARAT,LANDAK,-0.2,"BAWANG MERAH (0,2401); SUSU BUBUK UNTUK BALITA (0,1075); MIE KERING INSTANT (0)",DAGING AYAM RAS,0.03,
2022,11,02,6104,KALIMANTAN BARAT,MEMPAWAH,0.16,"BAWANG MERAH (0,153); CABAI MERAH (0,0105); BERAS (0)",STABIL,0,
2022,11,02,6105,KALIMANTAN BARAT,SANGGAU,0,BERAS (0); MIE KERING INSTANT (0); TEPUNG TERIGU (0),SUSU BUBUK,0.05,
2022,11,02,6106,KALIMANTAN BARAT,KETAPANG,0.17,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO (0,4728); BAWANG MERAH (0,1105); BAWANG PUTIH (0,0752)",BAWANG MERAH,0.08,
2022,11,02,6107,KALIMANTAN BARAT,SINTANG,-0.28,"BAWANG MERAH (0,2015); BERAS (0); MIE KERING INSTANT (0)",STABIL,0,
2022,11,02,6108,KALIMANTAN BARAT,KAPUAS HULU,0.23,"BAWANG MERAH (0,1856); IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO (0,1326); CABAI RAWIT (0,1229)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.05,
2022,11,02,6109,KALIMANTAN BARAT,SEKADAU,0.05,"TEMPE (0,4915); TELUR AYAM RAS (0,1139); DAGING AYAM RAS (0,0937)",CABAI RAWIT,0.31,
2022,11,02,6110,KALIMANTAN BARAT,MELAWI,-0.26,"BAWANG MERAH (0,3758); GULA PASIR (0,0465); MIE KERING INSTANT (0,0417)",CABAI RAWIT,0.15,
2022,11,02,6111,KALIMANTAN BARAT,KAYONG UTARA,-0.2,"BAWANG MERAH (0,1158); IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO (0,0746); MINYAK GORENG (0,0709)",TAHU MENTAH,0.12,
2022,11,02,6112,KALIMANTAN BARAT,KUBU RAYA,-0.17,"BERAS (0,1509); CABAI MERAH (0,085); BAWANG MERAH (0,067)",CABAI MERAH,0.1,
2022,11,02,6171,KALIMANTAN BARAT,PONTIANAK,0.86,"BAWANG MERAH (0,3832); BERAS (0,1667); TAHU MENTAH (0,0914)",CABAI MERAH,0.05,
2022,11,02,6172,KALIMANTAN BARAT,SINGKAWANG,-0.19,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO (0,1137); TELUR AYAM RAS (0,0597); BAWANG MERAH (0,0453)",CABAI MERAH,0.05,
2022,11,03,6101,KALIMANTAN BARAT,SAMBAS,-0.297385858,"CABAI RAWIT (-0,264); MINYAK GORENG (-0,092); BAWANG PUTIH (-0,031)",BAWANG PUTIH,0.08,
2022,11,03,6102,KALIMANTAN BARAT,BENGKAYANG,0.462996588,"BERAS (0,425); BAWANG MERAH (0,12); PISANG (0,028)",CABAI RAWIT,0.1,
2022,11,03,6103,KALIMANTAN BARAT,LANDAK,0.172710963,"BAWANG MERAH (0,152); CABAI RAWIT (0,112); SUSU BUBUK UNTUK BALITA (0,036)",CABAI MERAH,0.05,
2022,11,03,6104,KALIMANTAN BARAT,MEMPAWAH,-0.682167727,"BERAS (-0,598); MINYAK GORENG (-0,163); CABAI RAWIT (-0,056)",BAWANG MERAH,0.06,
2022,11,03,6105,KALIMANTAN BARAT,SANGGAU,0.248916095,"CABAI MERAH (0,243); TELUR AYAM RAS (0,165); SUSU BUBUK (0,01)",STABIL,-,
2022,11,03,6106,KALIMANTAN BARAT,KETAPANG,-0.142568868,"CABAI RAWIT (-0,11); DAGING AYAM RAS (-0,08); CABAI MERAH (-0,022)",BAWANG PUTIH,0.06,
2022,11,03,6107,KALIMANTAN BARAT,SINTANG,0.153963718,"CABAI MERAH (0,223); CABAI RAWIT (0,101); BAWANG MERAH (0,066)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.07,
2022,11,03,6108,KALIMANTAN BARAT,KAPUAS HULU,0.122698542,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO (0,177); BAWANG MERAH (0,061); CABAI RAWIT (0,041)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.08,
2022,11,03,6109,KALIMANTAN BARAT,SEKADAU,-0.492376638,"TAHU MENTAH (-0,885); MINYAK GORENG (-0,152); MIE KERING INSTANT (-0,104)",BAWANG MERAH,0.1,
2022,11,03,6110,KALIMANTAN BARAT,MELAWI,0.019538522,"BAWANG MERAH (0,12); TELUR AYAM RAS (0,105); GULA PASIR (0,015)",CABAI MERAH,0.08,
2022,11,03,6111,KALIMANTAN BARAT,KAYONG UTARA,-0.238175232,"TAHU MENTAH (-0,385); BAWANG PUTIH (-0,027); PISANG (-0,023)",PISANG,0.09,
2022,11,03,6112,KALIMANTAN BARAT,KUBU RAYA,0.019719279,"UDANG BASAH (0,144); BERAS (0,118); BAWANG MERAH (0,109)",CABAI RAWIT,0.05,
2022,11,03,6171,KALIMANTAN BARAT,PONTIANAK,0.169883137,"BERAS (0,131); BAWANG MERAH (0,06); MIE KERING INSTANT (0,037)",UDANG BASAH,0.02,
2022,11,03,6172,KALIMANTAN BARAT,SINGKAWANG,0.091810506,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO (0,097); BAWANG MERAH (0,045); TELUR AYAM RAS (0,02)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.05,
2022,12,01,6101,KALIMANTAN BARAT,SAMBAS,-0.571,"DAGING AYAM RAS(-0,413);CABAI RAWIT(-0,222);IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(-0,03)",STABIL,-,
2022,12,01,6102,KALIMANTAN BARAT,BENGKAYANG,-0.393,"DAGING AYAM RAS(-0,364);JERUK(-0,189);CABAI RAWIT(-0,112)",JERUK,0.1,
2022,12,01,6103,KALIMANTAN BARAT,LANDAK,-0.153,"DAGING AYAM RAS(-0,132);BAWANG PUTIH(-0,117);MINYAK GORENG(-0,055)",CABAI RAWIT,0.04,
2022,12,01,6104,KALIMANTAN BARAT,MEMPAWAH,-0.918,"BERAS(-0,775);SUSU BUBUK UNTUK BALITA(-0,249);BAWANG MERAH(-0,227)",JERUK,0.09,
2022,12,01,6105,KALIMANTAN BARAT,SANGGAU,0.199,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(0,251);CABAI MERAH(0,188);TELUR AYAM RAS(0,117)",CABAI MERAH,0.06,
2022,12,01,6106,KALIMANTAN BARAT,KETAPANG,1.073,"MINYAK GORENG(0,576);DAGING AYAM RAS(0,498);BAWANG MERAH(0,399)",MINYAK GORENG,0.1,
2022,12,01,6107,KALIMANTAN BARAT,SINTANG,2.15,"CABAI MERAH(1,891);CABAI RAWIT(0,105);TELUR AYAM RAS(0,072)",CABAI RAWIT,0.04,
2022,12,01,6108,KALIMANTAN BARAT,KAPUAS HULU,-0.47,"BERAS(-0,76);BAWANG PUTIH(-0,057);MINYAK GORENG(-0,052)",BAWANG PUTIH,0.08,
2022,12,01,6109,KALIMANTAN BARAT,SEKADAU,-2.084,"TAHU MENTAH(-0,836);MINYAK GORENG(-0,511);MIE KERING INSTANT(-0,332)",TEMPE,0.1,
2022,12,01,6110,KALIMANTAN BARAT,MELAWI,-0.12,"BAWANG MERAH(-0,211);CABAI MERAH(-0,162);BAWANG PUTIH(-0,14)",MINYAK GORENG,0.02,
2022,12,01,6111,KALIMANTAN BARAT,KAYONG UTARA,-1.031,"UDANG BASAH(-0,723);TAHU MENTAH(-0,374);IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(-0,323)",MINYAK GORENG,0.01,
2022,12,01,6112,KALIMANTAN BARAT,KUBU RAYA,0.783,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(1,11);TELUR AYAM RAS(0,265);CABAI RAWIT(0,173)",DAGING SAPI,0.22,
2022,12,01,6171,KALIMANTAN BARAT,PONTIANAK,-0.641,"BAWANG MERAH(-0,354);DAGING AYAM RAS(-0,321);BERAS(-0,219)",CABAI MERAH,0.03,
2022,12,01,6172,KALIMANTAN BARAT,SINGKAWANG,-0.433,"DAGING AYAM RAS(-0,141);BAWANG MERAH(-0,116);IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(-0,104)",CABAI MERAH,0.05,
2022,12,02,6101,KALIMANTAN BARAT,SAMBAS,0.46898439,"DAGING AYAM RAS(0,494);UDANG BASAH(0,218);TELUR AYAM RAS(0,141)",CABAI RAWIT,0.0508,
2022,12,02,6102,KALIMANTAN BARAT,BENGKAYANG,0.104570965,"DAGING AYAM RAS(0,187);TELUR AYAM RAS(0,17);BAWANG MERAH(0,089)",CABAI RAWIT,0.1765,
2022,12,02,6103,KALIMANTAN BARAT,LANDAK,0.327537344,"DAGING AYAM RAS(0,198);TELUR AYAM RAS(0,13);CABAI RAWIT(0,043)",TELUR AYAM RAS,0.0279,
2022,12,02,6104,KALIMANTAN BARAT,MEMPAWAH,0.306207989,"CABAI RAWIT(0,245);DAGING SAPI(0,192);BERAS(0,142)",PISANG,0.0932,
2022,12,02,6105,KALIMANTAN BARAT,SANGGAU,-0.170350685,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(-0,207);CABAI MERAH(-0,114);BAWANG MERAH(-0,054)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.0621,
2022,12,02,6106,KALIMANTAN BARAT,KETAPANG,0.035892241,"MINYAK GORENG(0,428);CABAI RAWIT(0,04);CABAI MERAH(0,031)",BAWANG PUTIH,0.0769,
2022,12,02,6107,KALIMANTAN BARAT,SINTANG,-0.139117421,"CABAI MERAH(-0,194);CABAI RAWIT(-0,18);TELUR AYAM RAS(-0,036)",CABAI MERAH,0.1074,
2022,12,02,6108,KALIMANTAN BARAT,KAPUAS HULU,0.543432825,"BERAS(0,39);CABAI RAWIT(0,2);IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(0,113)",BAWANG PUTIH,0.086,
2022,12,02,6109,KALIMANTAN BARAT,SEKADAU,1.146319019,"TAHU MENTAH(0,458);TELUR AYAM RAS(0,349);TEMPE(0,299)",BAWANG PUTIH,0.0771,
2022,12,02,6110,KALIMANTAN BARAT,MELAWI,0.665889498,"BERAS(0,837);CABAI MERAH(0,171);UDANG BASAH(0,136)",CABAI RAWIT,0.1782,
2022,12,02,6111,KALIMANTAN BARAT,KAYONG UTARA,-0.443058415,"UDANG BASAH(-0,374);CABAI RAWIT(-0,11);DAGING AYAM RAS(-0,074)",SUSU BUBUK,0.0108,
2022,12,02,6112,KALIMANTAN BARAT,KUBU RAYA,-1.408362632,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(-1,368);CABAI MERAH(-0,183);TELUR AYAM RAS(-0,129)",CABAI MERAH,0.1182,
2022,12,02,6171,KALIMANTAN BARAT,PONTIANAK,0.370692754,"DAGING AYAM RAS(0,34);TELUR AYAM RAS(0,101);BAWANG MERAH(0,057)",UDANG BASAH,0.0174,
2022,12,02,6172,KALIMANTAN BARAT,SINGKAWANG,0.208618163,"TELUR AYAM RAS(0,162);UDANG BASAH(0,097);BAWANG PUTIH(0,017)",TELUR AYAM RAS,0.0508,
2022,12,03,6101,KALIMANTAN BARAT,SAMBAS,0.53770107,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(0,259);DAGING AYAM RAS(0,157);UDANG BASAH(0,108)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.08,
2022,12,03,6102,KALIMANTAN BARAT,BENGKAYANG,0.625507961,"TAHU MENTAH(0,656);TEMPE(0,212);CABAI RAWIT(0,207)",CABAI RAWIT,0.1,
2022,12,03,6103,KALIMANTAN BARAT,LANDAK,0.484809499,"TELUR AYAM RAS(0,21);CABAI RAWIT(0,117);DAGING AYAM RAS(0,11)",BAWANG MERAH,0.05,
2022,12,03,6104,KALIMANTAN BARAT,MEMPAWAH,0.546547115,"CABAI RAWIT(0,28);TELUR AYAM RAS(0,143);BAWANG PUTIH(0,138)",JERUK,0.06,
2022,12,03,6105,KALIMANTAN BARAT,SANGGAU,-0.137810384,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(-0,26);CABAI MERAH(-0,085);BAWANG MERAH(-0,059)",DAGING AYAM RAS,-,
2022,12,03,6106,KALIMANTAN BARAT,KETAPANG,-0.240711733,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(-0,245);DAGING AYAM RAS(-0,093);PISANG(-0,044)",BAWANG MERAH,0.06,
2022,12,03,6107,KALIMANTAN BARAT,SINTANG,0.241677088,"DAGING AYAM RAS(0,176);TELUR AYAM RAS(0,073);BAWANG MERAH(0,069)",CABAI RAWIT,0.07,
2022,12,03,6108,KALIMANTAN BARAT,KAPUAS HULU,0.505271095,"BERAS(0,38);CABAI RAWIT(0,158);IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(0,054)",BAWANG PUTIH,0.08,
2022,12,03,6109,KALIMANTAN BARAT,SEKADAU,0.938135969,"TAHU MENTAH(0,458);TELUR AYAM RAS(0,225);MINYAK GORENG(0,145)",BAWANG MERAH,0.1,
2022,12,03,6110,KALIMANTAN BARAT,MELAWI,1.882619791,"BERAS(0,837);CABAI MERAH(0,608);UDANG BASAH(0,377)",CABAI RAWIT,0.08,
2022,12,03,6111,KALIMANTAN BARAT,KAYONG UTARA,-0.01247377,"UDANG BASAH(-0,374);DAGING AYAM RAS(-0,074);CABAI RAWIT(-0,044)",MINYAK GORENG,0.09,
2022,12,03,6112,KALIMANTAN BARAT,KUBU RAYA,-0.804829364,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(-0,742);UDANG BASAH(-0,129);CABAI MERAH(-0,107)",UDANG BASAH,0.05,
2022,12,03,6171,KALIMANTAN BARAT,PONTIANAK,0.292799378,"CABAI RAWIT(0,171);DAGING AYAM RAS(0,137);TELUR AYAM RAS(0,097)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.02,
2022,12,03,6172,KALIMANTAN BARAT,SINGKAWANG,0.657052391,"TELUR AYAM RAS(0,247);UDANG BASAH(0,182);CABAI RAWIT(0,132)",CABAI RAWIT,0.05,
2022,12,04,6101,KALIMANTAN BARAT,SAMBAS,0.576748759,"TELUR AYAM RAS(0,439);IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(0,384);MINYAK GORENG(0,114)",BAWANG PUTIH,0.074,86.8
2022,12,04,6102,KALIMANTAN BARAT,BENGKAYANG,2.334135086,"TAHU MENTAH(1,094);TELUR AYAM RAS(0,62);CABAI RAWIT(0,428)",CABAI MERAH,0.0978,120.51
2022,12,04,6103,KALIMANTAN BARAT,LANDAK,1.233515211,"TELUR AYAM RAS(0,527);DAGING AYAM RAS(0,364);CABAI RAWIT(0,334)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.0571,121.62
2022,12,04,6104,KALIMANTAN BARAT,MEMPAWAH,-1.087245112,"BERAS(-1,56);SUSU BUBUK UNTUK BALITA(-0,522);PISANG(-0,247)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.0545,118.57
2022,12,04,6105,KALIMANTAN BARAT,SANGGAU,0.398216521,"TELUR AYAM RAS(0,284);CABAI MERAH(0,12);IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(0,074)",STABIL,0,105.62
2022,12,04,6106,KALIMANTAN BARAT,KETAPANG,2.335785632,"MINYAK GORENG(1,576);DAGING AYAM RAS(0,654);TELUR AYAM RAS(0,251)",CABAI RAWIT,0.0855,91.5
2022,12,04,6107,KALIMANTAN BARAT,SINTANG,2.663719781,"CABAI MERAH(1,466);TELUR AYAM RAS(0,424);DAGING AYAM RAS(0,241)",DAGING AYAM RAS,0.048,121.58
2022,12,04,6108,KALIMANTAN BARAT,KAPUAS HULU,-0.198958006,"BERAS(-0,812);BAWANG PUTIH(-0,235);MINYAK GORENG(-0,085)",CABAI RAWIT,0.0416,152.18
2022,12,04,6109,KALIMANTAN BARAT,SEKADAU,-0.6571546,"TAHU MENTAH(-0,8);MINYAK GORENG(-0,767);MIE KERING INSTANT(-0,593)",DAGING AYAM RAS,0.1217,131.86
2022,12,04,6110,KALIMANTAN BARAT,MELAWI,1.652576406,"CABAI MERAH(0,642);CABAI RAWIT(0,479);TELUR AYAM RAS(0,429)",PISANG,0.1065,128.11
2022,12,04,6111,KALIMANTAN BARAT,KAYONG UTARA,-0.185647662,"UDANG BASAH(-0,712);TAHU MENTAH(-0,368);IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(-0,269)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.0721,108.73
2022,12,04,6112,KALIMANTAN BARAT,KUBU RAYA,0.391444417,"DAGING AYAM RAS(0,415);PISANG(0,323);CABAI RAWIT(0,297)",PISANG,0.2485,107.22
2022,12,04,6171,KALIMANTAN BARAT,PONTIANAK,-0.043560157,"BAWANG MERAH(-0,304);IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(-0,302);BERAS(-0,278)",DAGING SAPI,0.0417,115.17
2022,12,04,6172,KALIMANTAN BARAT,SINGKAWANG,0.15550228,"TELUR AYAM RAS(0,555);CABAI RAWIT(0,127);GULA PASIR(0,004)",CABAI RAWIT,0.1142,108.34
2023,01,01,6101,KALIMANTAN BARAT,SAMBAS,0.845123348,"DAGING AYAM RAS(1,056);CABAI RAWIT(0,272);UDANG BASAH(0,121)",CABAI RAWIT,0.0856,
2023,01,01,6102,KALIMANTAN BARAT,BENGKAYANG,0.339641249,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(1,051);DAGING AYAM RAS(0,931);BAWANG PUTIH(0,193)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.1191,
2023,01,01,6103,KALIMANTAN BARAT,LANDAK,-0.79396615,"TELUR AYAM RAS(-0,98);BAWANG MERAH(-0,56);CABAI RAWIT(-0,328)",DAGING AYAM RAS,0.0356,
2023,01,01,6104,KALIMANTAN BARAT,MEMPAWAH,3.34044235,"BERAS(1,31);DAGING AYAM RAS(0,801);SUSU BUBUK UNTUK BALITA(0,467)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.0909,
2023,01,01,6105,KALIMANTAN BARAT,SANGGAU,1.067366096,"DAGING AYAM RAS(1,282);CABAI RAWIT(0,17);BAWANG PUTIH(0,106)",DAGING AYAM RAS,0.0276,
2023,01,01,6106,KALIMANTAN BARAT,KETAPANG,0.329212554,"IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO(2,236);GULA PASIR(0,262);CABAI RAWIT(0,241)",IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.1336,
2023,01,01,6107,KALIMANTAN BARAT,SINTANG,-1.95762755,"CABAI MERAH(-1,871);TELUR AYAM RAS(-0,622);DAGING SAPI(-0,333)",CABAI RAWIT,0.2154,
2023,01,01,6108,KALIMANTAN BARAT,KAPUAS HULU,0.387790616,"BERAS(1,112);BAWANG PUTIH(0,141);MINYAK GORENG(0,082)",CABAI MERAH,0.033,
2023,01,01,6109,KALIMANTAN BARAT,SEKADAU,1.512949309,"TAHU MENTAH(0,994);MIE KERING INSTANT(0,612);MINYAK GORENG(0,517)",CABAI RAWIT,0.0721,
2023,01,01,6110,KALIMANTAN BARAT,MELAWI,0.953695264,"BERAS(1,212);DAGING AYAM RAS(0,69);MINYAK GORENG(0,104)",CABAI RAWIT,0.0951,
